START report: Thu Oct 19 00:44:36 2017 
** Error: (eldo - 1577)  In file "./netlist.spi" line 10:
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR2_ESC5.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR2_ESC5.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR1_ESC6.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR1_ESC6.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR1_ESC6.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR1_ESC6.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 32:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.MN2": Model DFLIPFLOPNOINVNEW_CIR_ESC3.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 32:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.MN2": Model DFLIPFLOPNOINVNEW_CIR_ESC3.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 33:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.MP2": Model DFLIPFLOPNOINVNEW_CIR_ESC3.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 33:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.MP2": Model DFLIPFLOPNOINVNEW_CIR_ESC3.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 34:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.MN1": Model DFLIPFLOPNOINVNEW_CIR_ESC3.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 34:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.MN1": Model DFLIPFLOPNOINVNEW_CIR_ESC3.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 35:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.MP1": Model DFLIPFLOPNOINVNEW_CIR_ESC3.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 35:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.MP1": Model DFLIPFLOPNOINVNEW_CIR_ESC3.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR3_ESC4.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR3_ESC4.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR3_ESC4.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR3_ESC4.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR2_ESC5.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR2_ESC5.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR2_ESC5.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR2_ESC5.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR1_ESC6.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR1_ESC6.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR1_ESC6.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR1_ESC6.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Warning: (eldo - 1615)  In file "./serdes_tsmc018a.cir" line 10:
+   COMMAND ".TRAN": TPRINT can not be <= 0.0.
+   It is set to TSTOP/20.0 = 2.000e-08 s.
